Gene Name,log2FoldChange,Annotation
CCDC61,-1.75115146309519e-06,Promoter
PLCD3,-2.86086620165061e-05,Intron
TMA16,-8.05776710899702e-06,Promoter
NMRK1,-1.45547710561931e-06,Promoter
SCAI,-6.93253434403445e-06,Promoter
ARL14EP,-2.89012944472115e-06,Intron
SPTSSA,-3.31855059009827e-07,Promoter
VPS26B,5.76595417453533e-05,Promoter
RHPN2,6.51916395252813e-06,Intron
PDE6D,-4.07051451613301e-06,Promoter
DAGLB,-6.24478006329845e-06,Promoter
CDYL,-4.76906344245342e-07,Promoter
NR1H2,-1.72313098657558e-05,Intron
TMED7,-1.9728480020061e-05,Promoter
CHP1,-4.26569841649657e-05,Promoter
ABCC10,7.04043794280381e-06,Promoter
ST3GAL5-AS1,-8.04908221848021e-07,Intergenic
MRPL34,-1.01225759036443e-05,Promoter
MSTO2P,4.07059599129651e-06,Promoter
MON1B,7.1133049223494e-06,Promoter
TAB3,-7.03430194152572e-06,Promoter
ZNF592,1.8001092469554e-05,Promoter
RBM23,-1.6154220755419e-06,Promoter
FAAP24,-2.86481520609619e-06,Promoter
ING4,-2.44127181415313e-07,Promoter
TPD52,-1.10628323444105e-05,Promoter
LZTS2,2.58938850184829e-06,Promoter
COMMD8,-2.339090783562e-06,Intron
PCLO,1.40863342924148e-06,Promoter
ASB7,9.54594214516895e-06,Intergenic
NUDT16,2.42843870676453e-06,Promoter
SH2B3,9.30989961660127e-06,Promoter
PSMD2,-9.88934688744585e-06,Promoter
PRDM11,-5.71913783252902e-06,Promoter
ZNF248,-1.24845244508951e-06,Promoter
THAP12,-1.13865336536696e-06,Promoter
MICAL2,3.62970772189952e-06,Promoter
DCP2,-4.06346355237533e-05,Promoter
NSDHL,1.09837837732474e-05,Promoter
TMEM97,-9.93974731501e-06,Promoter
FNDC3A,-1.34561798871996e-05,Promoter
FOXO6,1.45412093000717e-06,Promoter
MCM3,-0.363051605950557,Promoter
PAFAH1B1,-4.61662133401738e-06,Promoter
BMPR1A,-8.25471795284786e-06,Promoter
AZI2,-2.25736160547819e-06,Promoter
ASL,-3.02885399085198e-06,Promoter
GM2A,-6.76164656840752e-06,Promoter
PXYLP1,1.16673242829724e-05,Promoter
DPF1,2.12886676997332e-06,Promoter
PDIK1L,-3.77467584495702e-06,Promoter
DDI2,2.73335771796463e-06,Promoter
THAP5,-1.16713443424951e-05,Promoter
MAN1C1,1.08836384934819e-07,Promoter
CAMSAP1,1.66489636144173e-05,Promoter
HHIPL1,-1.67118601337551e-06,Promoter
CNNM4,5.20275283896569e-06,Promoter
UBE4B,2.10304457451215e-06,Promoter
EXOC3L4,-8.83493621187265e-08,Intron
HIC2,-1.1528056002511e-06,Intron
ASIC3,7.43036339640527e-06,Intron
WDSUB1,4.40141168171738e-06,Promoter
CUEDC2,-1.30232853102933e-05,Promoter
ACVR2A,1.92717887480203e-06,Promoter
STARD3NL,5.82325503026498e-06,Promoter
MRPS24,3.06473175176511e-06,Promoter
GIN1,-1.27989374479699e-05,Promoter
SLC26A6,1.53900336870582e-05,Promoter
SLC18A2,-1.08828377307575e-06,Intergenic
ZC2HC1A,7.67046722056727e-06,Intron
SVIP,-4.97993347109383e-06,Promoter
NAGK,-2.09850628348561e-06,Promoter
ELAC2,-5.9183607051033e-05,Promoter
DNAJB12,3.45117388778778e-05,Promoter
MKNK2,-2.88180859669828e-07,Intron
KATNB1,1.54246905260738e-06,Promoter
GABARAPL1,-2.05217822824994e-06,Promoter
CEP120,-3.84901427890327e-06,Promoter
ADA,-3.11243468491102e-07,Intron
TMEM131,-6.95041311413719e-06,Promoter
DTX2P1-UPK3BP1-PMS2P11,2.51626391341223e-06,Intron
RALBP1,-2.30198101157059e-05,Promoter
GAREM1,-1.05416179596794e-05,Promoter
KIAA0319L,1.31915346708432e-05,Promoter
GPCPD1,1.77142130646493e-05,Promoter
UBE2D2,-8.18360772970188e-06,Promoter
MTX1,8.8939983586024e-06,Promoter
PPP2R3A,-6.476215939966e-06,Promoter
STAG3L2,2.72759656612097e-06,Promoter
RNF170,-7.72344986937934e-05,Promoter
LMCD1-AS1,7.32451409765019e-08,Intron
PLD2,4.8529349163315e-06,Promoter
TOR2A,1.42839516945502e-07,Intron
GGN,2.1599713894349e-06,Promoter
NRCAM,3.14270356653335e-05,Intron
ZNF428,-1.57970068477979e-05,Promoter
RNF138,3.08217433814819e-06,Promoter
SLC6A6,5.12750818211016e-05,Promoter
CIRBP,2.18322126644455e-06,Promoter
ZNF784,2.07585073806975e-06,Promoter
USP15,-2.26673292078831e-06,Promoter
CCDC150,-1.01223726184173e-06,Promoter
SYT7,-3.41911016904185e-06,Promoter
COQ8A,6.86553506718885e-07,Promoter
MNT,1.78349043017498e-06,Intron
IFRD1,2.27375406905198e-06,Intergenic
SMNDC1,3.15865689482684e-05,Intergenic
EML6,1.39673488784505e-06,Intergenic
RPP38,1.11200660190423e-06,Promoter
SLC25A40,-1.89755997411832e-06,Promoter
NCAPH,1.15311948765681e-05,Promoter
LINC01134,3.34406427746602e-07,Promoter
FZD4,2.43503029610682e-06,Promoter
RAB14,-1.21511374850987e-05,Promoter
PIK3R3,2.0495390660582e-06,Promoter
NDUFAF6,-7.73384738323996e-06,Promoter
C10orf90,-6.01721495880631e-07,Intergenic
VDAC3,-6.26754668494658e-07,Promoter
LINC01257,1.09018125396963e-06,Intergenic
GPT2,1.07956071465992e-05,Promoter
SCML1,9.35891694945727e-06,Promoter
CD2BP2,1.31395519815575e-05,Promoter
ING3,-1.98593578815594e-06,Intron
CD99L2,-3.20417647838059e-05,Promoter
NECTIN3,-1.22800091595465e-05,Promoter
LTBP3,6.29743160693132e-06,Intergenic
CD9,-2.95331464832548e-05,Intron
TNKS,1.87056269068096e-05,Promoter
PRKAB2,3.47563990303733e-06,Promoter
RNF14,-1.07194848501337e-05,Promoter
POLD4,-1.25781931695765e-06,Promoter
MAD2L1,-1.85586160943621e-05,Promoter
LIMK1,8.53588193019963e-07,Intergenic
AURKA,-9.90950129708279e-06,Promoter
ASNS,-1.38545063604154e-06,Promoter
MYO10,3.2704320789948e-05,Promoter
DZANK1,-3.80355424231829e-06,Promoter
CYP1B1,4.79143297892226e-06,Promoter
TCAIM,-7.02272065991114e-06,Promoter
MNT,1.78349043017498e-06,Intron
SYVN1,-2.21229944142976e-05,Intergenic
IMPDH1,6.39389460780663e-06,Promoter
SLC33A1,-1.33494372850304e-05,Promoter
YWHAH,-5.00646328167094e-05,Promoter
SLC41A2,9.46065669577054e-06,Promoter
SDHB,-9.34260750700803e-06,Promoter
SPRY3,-4.96665981820844e-07,Intergenic
DYNC1H1,0.0002806223771164,Intergenic
BCAR1,9.75339616980578e-06,Intron
ETFDH,8.89588740513818e-06,Promoter
CEP350,-4.35698069248402e-07,Promoter
SRF,1.68560125428579e-06,Promoter
ASB7,9.54594214516895e-06,Intergenic
DPP8,-7.40861565377953e-06,Promoter
BCL9,5.10987372104577e-06,Intron
INSL3,6.94719543529086e-07,Intron
SIPA1L3,-1.61300427149227e-05,Intron
PAX8,-4.7976921783943e-07,Intergenic
MSRB1,-4.2080055259708e-06,Promoter
ACTR5,-2.15604743053038e-05,Promoter
MRPS18B,-1.11053659995333e-05,Promoter
ACAA1,5.64533602024136e-08,Promoter
MACF1,3.74227039802123e-06,Promoter
SBSPON,4.91131257335992e-07,Intergenic
TDRP,-1.12949516096579e-05,Intron
TASP1,4.28206193285824e-06,Intron
SDC1,-8.4271790585518e-06,Intergenic
TRDMT1,-6.45854610007906e-06,Intron
WDR47,5.13329504531973e-06,Promoter
EIF3D,-7.60265261212118e-07,Promoter
FZD7,4.44261739132391e-06,Promoter
DNAJC16,7.31223120306603e-08,Promoter
NFIB,4.40422430956552e-06,Promoter
PSMC5,1.93325059331303e-05,Promoter
POLA1,-7.07501887886273e-06,Promoter
CTBP2,6.58285282977542e-05,Intron
RBBP5,-1.97796316326864e-05,Promoter
TMEM120A,-5.72971434791569e-06,Intron
MORF4L2,2.14835529890138e-06,Promoter
TP53INP1,-7.66595220971077e-06,Promoter
ABHD18,-1.78402299954517e-06,Promoter
GPR39,-3.66347806987267e-06,Promoter
ARL6IP1,-3.99053617903202e-05,Promoter
ZNF77,2.03922045960221e-06,Intergenic
HSPB1,3.88207884407635e-06,Intergenic
REEP3,-3.9096624940666e-06,Promoter
TSPAN14,3.76679619628942e-05,Promoter
RAB2A,-6.94308458059105e-06,Promoter
PDP2,-2.85450008178659e-05,Promoter
SLC16A5,-1.2345522245096e-05,Intron
PEX2,-3.30104364734541e-05,Promoter
SRI,6.73760926117124e-06,Promoter
SUN2,8.05885223030142e-06,Promoter
PEX16,2.31808672464886e-06,Promoter
GCFC2,-1.71274430230962e-06,Promoter
MPV17L2,1.87233403352958e-06,Promoter
C1GALT1C1,-1.05924274513819e-05,Intergenic
MB,-2.11979163063072e-06,Intergenic
TCTN3,-1.78486257757196e-05,Promoter
HSPA13,-3.40551786661264e-06,Promoter
NUDT15,-1.69515310391813e-05,Promoter
TMEM39A,-3.01787315209706e-05,Promoter
DSTN,-2.87654054249395e-05,Promoter
USP21,3.15933286058675e-06,Promoter
CRIP2,-1.69128592322503e-05,Promoter
OSBPL7,-6.60407220579547e-06,Intron
LINC01271,1.35972584955048e-06,Intron
MRPS18B,-1.11053659995333e-05,Promoter
SLC2A6,3.90820339075556e-05,Promoter
MBP,-8.80482446619986e-06,Intron
HMGCR,9.6527119730038e-06,Promoter
ATL2,8.14049357378472e-07,Promoter
TMEM263,-6.44140890793281e-06,Promoter
SPIN4,6.10138369872151e-06,Intergenic
TOMM40L,2.37179828351952e-06,Promoter
KMT2D,8.18348042332393e-05,Promoter
FOXD2,-2.44242086708131e-06,Promoter
TADA1,-9.15635141684323e-06,Promoter
PHF14,-3.55171225716321e-05,Promoter
CTBP2,6.58285282977542e-05,Intron
ARHGEF19,-6.55423463923131e-07,Intron
ACTR3,-2.02191160494597e-05,Promoter
TINF2,-3.63293030796465e-05,Promoter
NRSN2-AS1,-5.74600264460668e-06,Intron
ELOVL5,-0.541733867955956,Intergenic
UAP1,-5.10137215206181e-05,Promoter
SZRD1,7.19025721517967e-06,Promoter
CITED4,-1.31522817988831e-06,Promoter
TMCO3,-9.43067440989899e-06,Promoter
GLCCI1,-1.23581832194703e-06,Promoter
AMMECR1L,1.58307936368024e-05,Promoter
CROT,-9.72786661506423e-06,Promoter
RSRC2,-3.92298841751992e-05,Promoter
PANK4,-5.6213507998632e-07,Intron
SSR3,-9.67698251995255e-05,Promoter
TMEM150A,3.78441928489582e-06,Promoter
HECW2,3.82554919369647e-06,Intron
CSDE1,-4.07088353259033e-05,Intron
HINT1,-6.86940745093555e-06,Intron
WDR45,6.48022569902965e-07,Promoter
ZBTB9,-6.97910526179459e-06,Promoter
MOB4,3.79485998430806e-06,Promoter
ENOSF1,-1.38892983275259e-05,Promoter
SPATA1,1.54490483677134e-07,Promoter
CYP24A1,2.66027591042713e-05,Intergenic
LYRM7,-1.30049160621345e-05,Promoter
DYNLRB1,5.00555019253375e-06,Intron
VSIG10L,1.33549805346089e-05,Intron
ACYP1,-1.13647545450099e-06,Promoter
KDM6B,-1.48524471934952e-07,Intron
THTPA,-2.98887220919803e-06,Promoter
HSP90AA1,-2.14956196648869e-05,Promoter
RNF34,9.98258320651049e-06,Promoter
XPOT,6.42169688095134e-06,Promoter
MBLAC2,5.91683168948542e-07,Promoter
GMPS,-1.87862603617714e-05,Promoter
BRAT1,1.63702883357605e-06,Promoter
SOCS4,-4.01446063689863e-06,Promoter
IST1,4.30025722842733e-06,Intron
INTS3,-1.01783615629351e-05,Promoter
TMCC2,1.38482985263388e-06,Intergenic
CRLS1,-8.79356835467545e-07,Promoter
COQ10A,-2.48482661378572e-07,Promoter
GTF2H1,-6.60937790360889e-06,Promoter
PPM1L,2.22358956365248e-06,Promoter
TCF7L1,2.2962264294348e-06,Promoter
ACO2,8.07483957869592e-06,Promoter
DMTF1,8.49863294207268e-06,Promoter
ETV5,1.80435150668964e-06,Promoter
POLR1E,5.90808142533011e-08,Promoter
CTSD,-9.96829162262122e-05,Intergenic
RANBP9,-4.12516501043064e-06,Promoter
GSTO2,1.18090918917685e-06,Promoter
ARHGEF10,8.68711654313304e-06,Promoter
PRKAB1,7.7790380744824e-06,Promoter
MYNN,-2.22857841426946e-06,Promoter
NT5DC3,-3.58215221222919e-06,Promoter
SLC35C2,1.7501870068002e-05,Intron
MPC1,3.87844464302024e-06,Promoter
PSMD1,1.87937624997303e-05,Promoter
UPF3A,6.47684763882094e-06,Promoter
ZMYM5,1.26114535657055e-05,Promoter
MAGI3,1.82285479577479e-07,Promoter
HDHD3,1.17760636754222e-06,Promoter
ELP4,4.61682852585415e-05,Promoter
FBRSL1,-4.99568720370378e-06,Intergenic
HMMR,1.39078696794667e-05,Promoter
GINS2,6.69853291149363e-06,Promoter
SEL1L,-8.05860234833027e-06,Promoter
EPHB3,6.23429577252813e-07,Promoter
DNAJC7,1.93992103245846e-05,Promoter
GLYR1,3.1752020998534e-05,Promoter
NSUN2,1.07244826680154e-06,Promoter
FABP6,1.87801378604173e-07,Intergenic
RAP2B,-1.75148179226194e-05,Promoter
SFR1,-2.02940796336221e-06,Promoter
USP16,-1.4200103952994e-06,Intron
IL17REL,-1.32473725688464e-06,Intron
SMIM10,2.07193076765393e-07,Intergenic
PRICKLE3,-1.16688402464112e-05,Intron
NDUFA8,1.65870696015634e-05,Promoter
CD151,-7.77303499217827e-06,Intron
VIPR2,2.55809595661647e-07,Intergenic
AP3S1,5.0334465321745e-06,Promoter
MOAP1,5.653840666893e-06,Promoter
EIF2S1,-1.87989550982078e-05,Promoter
DUSP10,9.29243127439593e-07,Promoter
UBA6,-6.7040714174803e-06,Promoter
FZD1,2.6596366864635e-06,Promoter
ZC3HC1,4.08124902264685e-06,Intergenic
HSF1,7.22114022519777e-07,Promoter
DZIP3,4.6669611410677e-06,Promoter
PEX1,-1.18466538910712e-05,Promoter
APOM,-2.15637846376932e-06,Promoter
WBP1,-1.02784313728207e-06,Promoter
BCORL1,1.68538158102779e-06,Promoter
PLXND1,3.56624981469884e-05,Intergenic
ACBD6,-2.66754152324972e-05,Promoter
FAM199X,-6.87097637717589e-06,Promoter
DSEL,-5.68721244938676e-07,Promoter
MGAT4A,-2.06479683952689e-07,Promoter
PGBD2,-1.90586944318488e-06,Intron
MUC12,1.09103489939595e-06,Intron
SLC4A2,-6.43760093295898e-06,Promoter
HEATR5B,-9.16411962416194e-06,Promoter
SEMA4F,6.9010141139701e-06,Promoter
ATP6V0D1,1.71660546567107e-06,Promoter
TTLL4,6.86989740039263e-06,Promoter
PIK3C2A,-5.10897654132286e-07,Promoter
ABLIM2,-5.56281614946472e-07,Promoter
WBP4,1.67712069704526e-06,Promoter
SDCBP,-7.84067319885506e-06,Promoter
NRGN,-6.45169044827773e-06,Promoter
SAR1B,3.30587804393982e-06,Intergenic
C2orf50,-1.12456189141603e-06,Promoter
PARP11,6.69035808168316e-06,Intergenic
RNF215,4.423961769831e-06,Promoter
NABP2,1.08786278179977e-06,Promoter
PODXL,1.55917771668458e-05,Intergenic
TMEM187,3.52906236518876e-06,Promoter
VHL,-5.33215990137744e-06,Promoter
PDCD4,2.51100332618777e-05,Intron
FAM98C,6.17699909986463e-06,Promoter
ABHD16A,-1.83958508359829e-06,Promoter
METTL2B,2.33381690537442e-06,Intron
P2RY2,7.59982463960404e-06,Promoter
RASAL2,-8.91415829203287e-06,Promoter
CD58,-5.06481941882247e-06,Intron
LPP-AS2,3.5676108963245e-06,Promoter
MUC4,9.14719534063317e-07,Intergenic
COQ6,3.41250103571751e-06,Promoter
SLC5A6,-1.6842295527995e-06,Promoter
PANK2,4.89284335188263e-06,Promoter
AGPAT5,-1.53133879571122e-05,Promoter
GAPDH,3.66242183102707e-07,Promoter
PIAS4,4.9005351957423e-07,Promoter
SREK1,1.03165632521695e-05,Promoter
UQCRB,-1.49868942078632e-06,Intron
TRMO,1.52281504570861e-06,Promoter
ELMOD3,1.22394539231e-06,Promoter
NXPE3,-5.49039263756518e-06,Promoter
PIKFYVE,-7.13223384961139e-06,Promoter
LYNX1,-7.4804990944859e-06,Promoter
HOMER1,-6.90963880343095e-06,Promoter
ABCC2,-7.19565132909377e-06,Intron
LIN7C,-6.2053384930003e-06,Promoter
PARP14,-1.41219630768004e-05,Intergenic
RNU6ATAC,4.49554314100078e-08,Promoter
JAK2,-3.84902201552094e-05,Promoter
DDIT3,2.61660779857342e-05,Promoter
POLR1A,-7.62291602609173e-05,Promoter
CDCA4,-3.64044481502434e-07,Promoter
FLII,5.65347216202124e-06,Intron
COX8A,2.97614054673886e-06,Promoter
TEX261,-4.89955168535899e-06,Promoter
AP5S1,-1.18081209442932e-05,Promoter
TRPC1,-2.90755335587742e-06,Promoter
RASL11A,-2.45894780788744e-06,Promoter
PRCP,-1.21235451871875e-05,Promoter
RPSA,2.23682887277289e-06,Promoter
MRPL11,-9.50065969384181e-06,Promoter
ZHX3,6.20439315436621e-06,Promoter
ANKRD11,3.74782086999127e-05,Promoter
TRIOBP,7.44659301556017e-06,Intron
ELK4,-8.05168911987039e-06,Promoter
EML2,1.7126495167804e-06,Promoter
LPIN1,6.61218081997075e-06,Intron
TACC2,-4.34512374992045e-06,Intron
PIF1,1.39325494456665e-06,Promoter
BAHCC1,7.77554407697708e-06,Promoter
AMZ2,4.21308415072442e-06,Promoter
MRPL34,-1.01225759036443e-05,Promoter
GPR155,-2.0583319389186e-06,Promoter
TIPARP,1.72976151502979e-05,Promoter
DDX23,-8.57812110066927e-06,Promoter
DTX4,5.29103971138974e-06,Promoter
SDC1,-8.4271790585518e-06,Intergenic
NOL6,6.44755063145521e-05,Promoter
LINC00589,-1.40172147682471e-07,Intron
MAP2K4,-1.99913600348281e-05,Promoter
DDX11,7.21089819619826e-06,Promoter
ANKRD18B,6.60180301379663e-08,Promoter
AP4S1,-1.09807464019596e-05,Promoter
PTTG1IP,6.95916248381999e-05,Promoter
MAT2B,-3.24130457614738e-05,Promoter
PPP1R21,-3.98235813349494e-06,Promoter
PPP1R35,-1.50846112410688e-06,Promoter
MRPL40,2.13279464466972e-06,Promoter
SOCS3,-3.63051801545304e-06,Promoter
RHBDD3,3.04407442019874e-06,Promoter
CEPT1,-1.54274336453934e-05,Promoter
MRPS18B,-1.11053659995333e-05,Promoter
TTC21B,-9.49782106580887e-06,Promoter
SPTBN4,1.11290649857678e-06,Intron
MNT,1.78349043017498e-06,Intron
DOCK4,-0.361774385340721,Promoter
TSPAN9,1.07848865640329e-06,Promoter
ACP1,-2.06249196806156e-05,Promoter
STK35,-2.88786672148135e-07,Intron
SUZ12,-6.16106625361705e-06,Promoter
TTC8,-2.9865327856376e-05,Promoter
CDK8,1.22451127977829e-06,Promoter
RNASEH1,1.71098061403754e-05,Intron
PLCXD1,-3.29313225182926e-05,Intergenic
CGRRF1,-6.5573379285642e-06,Promoter
PUM1,3.53599480462175e-05,Promoter
PSMD9,-3.78888037141433e-06,Promoter
MCM2,-1.57945034262936e-05,Promoter
SPIRE2,7.21754339033389e-08,Promoter
MBOAT2,3.34962574656797e-05,Promoter
DUXAP8,7.02916409611987e-06,Intron
BCL7C,-2.54853488878262e-06,Promoter
NME1,-3.26352774056554e-06,Promoter
SLC22A5,3.06814687814396e-06,Promoter
UBAP1,-5.08992855897807e-05,Promoter
STX2,-2.1801907757435e-06,Intergenic
FAM83D,2.0028999751873e-06,Promoter
SULT2B1,-2.58258064121338e-05,Intron
SLC25A42,-1.81217223914242e-07,Promoter
GPD1L,-7.86419992504688e-07,Promoter
ARFGAP2,2.58847520303021e-05,Promoter
FH,-3.78068865842836e-06,Promoter
MROH1,2.68697969220985e-06,Promoter
AQP7,-2.35685813998299e-06,Intergenic
AKAP11,-4.35836862891976e-06,Promoter
AMHR2,2.25476066148597e-07,Intergenic
DLX1,8.95152471851983e-07,Promoter
NECTIN4,1.03205590526387e-06,Intron
GABRB3,1.26663737839099e-05,Promoter
ISCA1,3.98018724659726e-06,Promoter
ZKSCAN5,-4.24881768281118e-06,Promoter
APOM,-2.15637846376932e-06,Promoter
PRDM10,-4.01692331826976e-09,Promoter
SNAP25,3.68418364325754e-06,Intron
DEK,-2.21182895781503e-05,Promoter
SYNJ2,-8.40387691671643e-06,Intron
CNDP2,2.26518963760467e-05,Promoter
ASH2L,-2.34704645238229e-06,Promoter
SLC8A2,-2.04322762727482e-06,Intron
