chr,start position,
chrI,2321909,
chrI,2332636,
chrI,2332629,
chrI,2333319,
chrI,2333327,
chrI,2420407,
chrI,2420399,
chrI,2420394,
chrI,2420391,
chrI,2420384,
chrI,2420380,
chrI,2421823,
chrI,2425183,
chrI,2433789,
chrI,2485712,
chrI,2489954,
chrI,2514241,
chrI,2558161,
chrI,2562622,
chrI,2587340,
chrI,2617519,
chrI,2620574,
chrI,2642511,
chrI,2682925,
chrI,2689470,
chrI,2689468,
chrI,2689465,
chrI,2689454,
chrI,2689444,
chrI,2689440,
chrI,2689437,
chrI,2689434,
chrI,2689427,
chrI,2689418,
chrI,2692078,
chrI,2728761,
chrI,2728777,
chrI,2728788,
chrI,2728931,
chrI,2728941,
chrI,2784310,
chrI,2784286,
chrI,2786069,
chrI,2800966,
chrI,2822135,
chrI,2853859,
chrI,2853841,
chrI,2853838,
chrI,2853826,
chrI,2859888,
chrI,2859855,
chrI,2875370,
chrI,2877623,
chrI,2877332,
chrI,2876454,
chrI,2876629,
chrI,2878088,
chrI,2878103,
chrI,2878157,
chrI,2878170,
chrI,2878229,
chrI,2878315,
chrI,2883832,
chrI,2883819,
chrI,2883815,
chrI,2883785,
chrI,2887785,
chrI,2925543,
chrI,2924815,
chrI,2924166,
chrI,2925229,
chrI,2928251,
chrI,2928262,
chrI,2928281,
chrI,2928293,
chrI,2928348,
chrI,2929775,
chrI,2929780,
chrI,2929784,
chrI,2929792,
chrI,2929795,
chrI,2929814,
chrI,2996402,
chrI,2996422,
chrI,2996427,
chrI,2996441,
chrI,2996450,
chrI,2996489,
chrI,3032938,
chrI,3032988,
chrI,3032994,
chrI,3059147,
chrI,3059117,
chrI,3059213,
chrI,3059224,
chrI,3059231,
chrI,3059236,
chrI,3059242,
chrI,3059253,
chrI,3071334,
chrI,3071283,
chrI,3085467,
chrI,3085456,
chrI,3085452,
chrI,3085429,
chrI,3085424,
chrI,3085417,
chrI,3085413,
chrI,3085407,
chrI,3085394,
chrI,3101950,
chrI,3101961,
chrI,3137186,
chrI,3137194,
chrI,3140602,
chrI,3140577,
chrI,3143187,
chrI,3143176,
chrI,3147823,
chrI,3147958,
chrI,3147990,
chrI,3147999,
chrI,3152094,
chrI,3152090,
chrI,3152555,
chrI,3162290,
chrI,3192762,
chrI,3198921,
chrI,3206721,
chrI,3206773,
chrI,3228057,
chrI,3228048,
chrI,3228043,
chrI,3228036,
chrI,3228027,
chrI,3228023,
chrI,3266721,
chrI,3266701,
chrI,3287359,
chrI,3297097,
chrI,3297052,
chrI,3319973,
chrI,3319068,
chrI,3368806,
chrI,3405682,
chrI,3419639,
chrI,3442232,
chrI,3476314,
chrI,3476312,
chrI,3476310,
chrI,3502874,
chrI,3516480,
chrI,3516484,
chrI,3516499,
chrI,3516515,
chrI,3529907,
chrI,3547095,
chrI,3562910,
chrI,3562895,
chrI,3564029,
chrI,3564058,
chrI,3564064,
chrI,3564066,
chrI,3564069,
chrI,3564072,
chrI,3601293,
chrI,3608344,
chrI,3608342,
chrI,3608335,
chrI,3608329,
chrI,3608295,
chrI,3608285,
chrI,3619683,
chrI,3683170,
chrI,3681967,
chrI,3681886,
chrI,3680956,
chrI,3680946,
chrI,3684115,
chrI,3684107,
chrI,3694024,
chrI,3697620,
chrI,3726834,
chrI,3726837,
chrI,3726841,
chrI,3726842,
chrI,3726859,
chrI,3726884,
chrI,3726914,
chrI,3741252,
chrI,3740430,
chrI,3740422,
chrI,3759075,
chrI,3783884,
chrI,3783897,
chrI,3787874,
chrI,3818910,
chrI,3817956,
chrI,3817978,
chrI,3822944,
chrI,3829531,
chrI,3837786,
chrI,3866546,
chrI,3867431,
chrI,3873418,
chrI,3875748,
chrI,3875754,
chrI,3875759,
chrI,3875770,
chrI,3875826,
chrI,3875837,
chrI,3877033,
chrI,3885907,
chrI,3887114,
chrI,3891567,
chrI,3891559,
chrI,3891549,
chrI,3891542,
chrI,3891531,
chrI,3891529,
chrI,3891525,
chrI,3897412,
chrI,3908676,
chrI,3908735,
chrI,3920541,
chrI,3920230,
chrI,3925800,
chrI,3932034,
chrI,3960976,
chrI,3970045,
chrI,3970019,
chrI,3970015,
chrI,3982953,
chrI,3982986,
chrI,3987942,
chrI,4035708,
chrI,4035730,
chrI,4035745,
chrI,4035748,
chrI,4035759,
chrI,4114711,
chrI,4114719,
chrI,4132276,
chrI,4132254,
chrI,4132246,
chrI,4132384,
chrI,4139414,
chrI,4139397,
chrI,4139389,
chrI,4139072,
chrI,4147165,
chrI,4147155,
chrI,4147148,
chrI,4147137,
chrI,4149430,
chrI,4149428,
chrI,4149980,
chrI,4149982,
chrI,4149985,
chrI,4154439,
chrI,4171719,
chrI,4175013,
chrI,4175008,
chrI,4178544,
chrI,4178519,
chrI,4181745,
chrI,4212712,
chrI,4212722,
chrI,4215770,
chrI,4215750,
chrI,4215727,
chrI,4215713,
chrI,4236975,
chrI,4247583,
chrI,4247647,
chrI,4247664,
chrI,4247669,
chrI,4264487,
chrI,4270493,
chrI,4270488,
chrI,4270483,
chrI,4270608,
chrI,4270648,
chrI,4279623,
chrI,4298422,
chrI,4302482,
chrI,4320889,
chrI,4320897,
chrI,4320968,
chrI,4367910,
chrI,4381852,
chrI,4381826,
chrI,4381816,
chrI,4381807,
chrI,4381926,
chrI,4381931,
chrI,4381958,
chrI,4511228,
chrI,4537759,
chrI,4536035,
chrI,4535931,
chrI,4564036,
chrI,4564045,
chrI,4564052,
chrI,4564062,
chrI,4564066,
chrI,4564070,
chrI,4564075,
chrI,4564080,
chrI,4564086,
chrI,4564090,
chrI,4564097,
chrI,4564100,
chrI,4564104,
chrI,4579728,
chrI,4579723,
chrI,4585786,
chrI,4584794,
chrI,4584767,
chrI,4584763,
chrI,4584757,
chrI,4584745,
chrI,4584728,
chrI,4584720,
chrI,4584712,
chrI,4584534,
chrI,4584528,
chrI,4584946,
chrI,4584983,
chrI,4584992,
chrI,4585141,
chrI,4602999,
chrI,4636414,
chrI,4636407,
chrI,4636404,
chrI,4647130,
chrI,4646981,
chrI,4646030,
chrI,4646554,
chrI,4647328,
chrI,4647340,
chrI,4647349,
chrI,4647357,
chrI,4647386,
chrI,4664500,
chrI,4672218,
chrI,4715484,
chrI,4717451,
chrI,4717558,
chrI,4719760,
chrI,4721179,
chrI,4721190,
chrI,4727282,
chrI,4727309,
chrI,4727316,
chrI,4727329,
chrI,4731607,
chrI,4738563,
chrI,4765206,
chrI,4768022,
chrI,4770108,
chrI,4773067,
chrI,4773061,
chrI,4789061,
chrI,4790097,
chrI,4790124,
chrI,4790131,
chrI,4790249,
chrI,4792485,
chrI,4826984,
chrI,4826999,
chrI,4827003,
chrI,4827007,
chrI,4827014,
chrI,4827025,
chrI,4888003,
chrI,4887996,
chrI,4887990,
chrI,4895956,
chrI,4895963,
chrI,4895980,
chrI,4895990,
chrI,4895998,
chrI,4901973,
chrI,4926529,
chrI,4926510,
chrI,4926471,
chrI,4926630,
chrI,4926640,
chrI,4926652,
chrI,4926662,
chrI,4926670,
chrI,4958310,
chrI,4958304,
chrI,4958287,
chrI,4967374,
chrI,4970290,
chrI,5008773,
chrI,5020081,
chrI,5043066,
chrI,5045734,
chrI,5048018,
chrI,5050068,
chrI,5082415,
chrI,5082394,
chrI,5082357,
chrI,5103413,
chrI,5104959,
chrI,5106160,
chrI,5106140,
chrI,5106130,
chrI,5106125,
chrI,5106255,
chrI,5111371,
chrI,5113874,
chrI,5113827,
chrI,5113797,
chrI,5118890,
chrI,5118877,
chrI,5131512,
chrI,5138158,
chrI,5162462,
chrI,5162457,
chrI,5164949,
chrI,5165099,
chrI,5165103,
chrI,5165122,
chrI,5165141,
chrI,5176104,
chrI,5176096,
chrI,5244354,
chrI,5258717,
chrI,5256926,
chrI,5263027,
chrI,5271142,
chrI,5271092,
chrI,5274339,
chrI,5274325,
chrI,5274296,
chrI,5274283,
chrI,5274272,
chrI,5274266,
chrI,5274264,
chrI,5274260,
chrI,5274259,
chrI,5274252,
chrI,5274248,
chrI,5274244,
chrI,5300516,
chrI,5316575,
chrI,5314887,
chrI,5319299,
chrI,5319293,
chrI,5319290,
chrI,5332183,
chrI,5332880,
chrI,5332871,
chrI,5332853,
chrI,5332821,
chrI,5332785,
chrI,5332783,
chrI,5332778,
chrI,5332770,
chrI,5332767,
chrI,5344521,
chrI,5344530,
chrI,5370633,
chrI,5368044,
chrI,5368065,
chrI,5368281,
chrI,5368296,
chrI,5368301,
chrI,5377464,
chrI,5377458,
chrI,5377454,
chrI,5377441,
chrI,5388595,
chrI,5400719,
chrI,5401811,
chrI,5417093,
chrI,5417008,
chrI,5426309,
chrI,5426315,
chrI,5429905,
chrI,5429852,
chrI,5429848,
chrI,5429841,
chrI,5429831,
chrI,5429964,
chrI,5429979,
chrI,5430006,
chrI,5430010,
chrI,5430021,
chrI,5430084,
chrI,5433145,
chrI,5434810,
chrI,5434813,
chrI,5434818,
chrI,5485960,
chrI,5485952,
chrI,5485939,
chrI,5485932,
chrI,5485928,
chrI,5485926,
chrI,5485920,
chrI,5497829,
chrI,5497835,
chrI,5497839,
chrI,5509291,
chrI,5525343,
chrI,5533816,
chrI,5550548,
chrI,5563858,
chrI,5571954,
chrI,5573031,
chrI,5572980,
chrI,5572976,
chrI,5572972,
chrI,5572967,
chrI,5573141,
chrI,5579494,
chrI,5579480,
chrI,5579472,
chrI,5579467,
chrI,5579209,
chrI,5579205,
chrI,5579195,
chrI,5607622,
chrI,5620035,
chrI,5617279,
chrI,5619387,
chrI,5619421,
chrI,5619430,
chrI,5619436,
chrI,5619597,
chrI,5620520,
chrI,5620780,
chrI,5626485,
chrI,5626137,
chrI,5626114,
chrI,5661264,
chrI,5675093,
chrI,5673826,
chrI,5673849,
chrI,5676425,
chrI,5694150,
chrI,5693928,
chrI,5693825,
chrI,5691680,
chrI,5716591,
chrI,5716598,
chrI,5735532,
chrI,5744036,
chrI,5744022,
chrI,5744019,
chrI,5744151,
chrI,5746640,
chrI,5762422,
chrI,5768955,
chrI,5768966,
chrI,5768981,
chrI,5768997,
chrI,5769005,
chrI,5774588,
chrI,5774591,
chrI,5791969,
chrI,5791955,
chrI,5791946,
chrI,5791940,
chrI,5791919,
chrI,5791911,
chrI,5807294,
chrI,5807291,
chrI,5807287,
chrI,5807277,
chrI,5807609,
chrI,5818232,
chrI,5818208,
chrI,5826163,
chrI,5827988,
chrI,5851907,
chrI,5866004,
chrI,5868735,
chrI,5871970,
chrI,5871964,
chrI,5872062,
chrI,5904718,
chrI,5937196,
chrI,5937223,
chrI,5986045,
chrI,5986431,
chrI,5986453,
chrI,6006335,
chrI,6011560,
chrI,6011985,
chrI,6022256,
chrI,6061315,
chrI,6061303,
chrI,6061286,
chrI,6081397,
chrI,6087759,
chrI,6087753,
chrI,6090897,
chrI,6091182,
chrI,6091199,
chrI,6092922,
chrI,6092930,
chrI,6096594,
chrI,6096591,
chrI,6097839,
chrI,6097836,
chrI,6097834,
chrI,6098958,
chrI,6101753,
chrI,6101751,
chrI,6107991,
chrI,6149238,
chrI,6163240,
chrI,6176328,
chrI,6176339,
chrI,6181533,
chrI,6184067,
chrI,6215500,
chrI,6215647,
chrI,6220946,
chrI,6220940,
chrI,6220936,
chrI,6220916,
chrI,6224882,
chrI,6250099,
chrI,6250096,
chrI,6250093,
chrI,6250090,
chrI,6250082,
chrI,6250077,
chrI,6250074,
chrI,6250069,
chrI,6250062,
chrI,6250060,
chrI,6250050,
chrI,6250047,
chrI,6253014,
chrI,6253022,
chrI,6253033,
chrI,6253044,
chrI,6253050,
chrI,6253052,
chrI,6275293,
chrI,6283591,
chrI,6287624,
chrI,6294876,
chrI,6294882,
chrI,6311253,
chrI,6317434,
chrI,6317441,
chrI,6317455,
chrI,6358653,
chrI,6358655,
chrI,6358660,
chrI,6365021,
chrI,6366347,
chrI,6366383,
chrI,6366437,
chrI,6368273,
chrI,6369946,
chrI,6369980,
chrI,6407460,
chrI,6407522,
chrI,6417012,
chrI,6416830,
chrI,6421932,
chrI,6421908,
chrI,6421907,
chrI,6421896,
chrI,6422006,
chrI,6422010,
chrI,6422021,
chrI,6422051,
chrI,6431587,
chrI,6436045,
chrI,6436098,
chrI,6460948,
chrI,6460960,
chrI,6460971,
chrI,6460974,
chrI,6460981,
chrI,6466829,
chrI,6468115,
chrI,6468131,
chrI,6468134,
chrI,6472536,
chrI,6471964,
chrI,6493890,
chrI,6493864,
chrI,6494203,
chrI,6494281,
chrI,6497431,
chrI,6497436,
chrI,6497440,
chrI,6497443,
chrI,6497452,
chrI,6499968,
chrI,6499973,
chrI,6513843,
chrI,6513929,
chrI,6513945,
chrI,6513952,
chrI,6513964,
chrI,6513983,
chrI,6514000,
chrI,6525046,
chrI,6525050,
chrI,6530097,
chrI,6533032,
chrI,6533007,
chrI,6532992,
chrI,6534073,
chrI,6534081,
chrI,6534085,
chrI,6534102,
chrI,6542107,
chrI,6542143,
chrI,6548657,
chrI,6550510,
chrI,6554737,
chrI,6554840,
chrI,6554863,
chrI,6558336,
chrI,6558362,
chrI,6562565,
chrI,6562604,
chrI,6562610,
chrI,6562623,
chrI,6564552,
chrI,6569514,
chrI,6569518,
chrI,6569532,
chrI,6580048,
chrI,6585283,
chrI,6594322,
chrI,6615954,
chrI,6615924,
chrI,6616290,
chrI,6620666,
chrI,6626881,
chrI,6629733,
chrI,6662315,
chrI,6682292,
chrI,6706421,
chrI,6708662,
chrI,6717371,
chrI,6717718,
chrI,6736225,
chrI,6737524,
chrI,6756504,
chrI,6760391,
chrI,6784176,
chrI,6784255,
chrI,6784856,
chrI,6790073,
chrI,6790054,
chrI,6790044,
chrI,6790036,
chrI,6790544,
chrI,6799621,
chrI,6799705,
chrI,6799721,
chrI,6799729,
chrI,6799739,
chrI,6799750,
chrI,6799791,
chrI,6799823,
chrI,6835504,
chrI,6835507,
chrI,6837976,
chrI,6847304,
chrI,6847302,
chrI,6847301,
chrI,6847515,
chrI,6847531,
chrI,6847539,
chrI,6847557,
chrI,6847564,
chrI,6854755,
chrI,6873757,
chrI,6873754,
chrI,6874302,
chrI,6889209,
chrI,6901328,
chrI,6914102,
chrI,6914211,
chrI,6914231,
chrI,6946108,
chrI,6950707,
chrI,6950698,
chrI,6950692,
chrI,6950540,
chrI,6954218,
chrI,6954212,
chrI,6970252,
chrI,6970225,
chrI,6970186,
chrI,6973740,
chrI,6973716,
chrI,6973708,
chrI,6999603,
chrI,6999596,
chrI,6999587,
chrI,6999579,
chrI,6999570,
chrI,7005697,
chrI,7005702,
chrI,7005706,
chrI,7021465,
chrI,7021420,
chrI,7021410,
chrI,7021360,
chrI,7020968,
chrI,7020940,
chrI,7021094,
chrI,7054903,
chrI,7056577,
chrI,7056381,
chrI,7056510,
chrI,7079481,
chrI,7079475,
chrI,7079471,
chrI,7082019,
chrI,7081845,
chrI,7081826,
chrI,7090262,
chrI,7090241,
chrI,7090223,
chrI,7088617,
chrI,7090564,
chrI,7094991,
chrI,7094964,
chrI,7099675,
chrI,7099809,
chrI,7099988,
chrI,7103381,
chrI,7103362,
chrI,7105302,
chrI,7116705,
chrI,7116697,
chrI,7128259,
chrI,7139905,
chrI,7139899,
chrI,7139728,
chrI,7151885,
chrI,7170001,
chrI,7174145,
chrI,7188493,
chrI,7188510,
chrI,7188513,
chrI,7188527,
chrI,7203529,
chrI,7210532,
chrI,7210538,
chrI,7210545,
chrI,7210560,
chrI,7224773,
chrI,7233156,
chrI,7233140,
chrI,7234786,
chrI,7234771,
chrI,7234765,
chrI,7234895,
chrI,7234909,
chrI,7234916,
chrI,7234938,
chrI,7234948,
chrI,7243816,
chrI,7244035,
chrI,7244956,
chrI,7251429,
chrI,7251297,
chrI,7255410,
chrI,7267078,
chrI,7267072,
chrI,7267069,
chrI,7267057,
chrI,7267052,
chrI,7267047,
chrI,7266981,
chrI,7266938,
chrI,7279623,
chrI,7283784,
chrI,7285781,
chrI,7295758,
chrI,7295765,
chrI,7300324,
chrI,7304780,
chrI,7304900,
chrI,7304910,
chrI,7304916,
chrI,7304921,
chrI,7306833,
chrI,7314443,
chrI,7314414,
chrI,7314398,
chrI,7314392,
chrI,7314386,
chrI,7314103,
chrI,7314076,
chrI,7314038,
chrI,7325138,
chrI,7323623,
chrI,7347372,
chrI,7347363,
chrI,7347357,
chrI,7346743,
chrI,7346735,
chrI,7352229,
chrI,7352117,
chrI,7352107,
chrI,7352442,
chrI,7354397,
chrI,7354408,
chrI,7383164,
chrI,7383159,
chrI,7383153,
chrI,7383121,
chrI,7383105,
chrI,7383101,
chrI,7383097,
chrI,7383089,
chrI,7401674,
chrI,7404369,
chrI,7405011,
chrI,7405028,
chrI,7405032,
chrI,7405033,
chrI,7454695,
chrI,7486298,
chrI,7489793,
chrI,7492042,
chrI,7492047,
chrI,7492354,
chrI,7494690,
chrI,7503365,
chrI,7505947,
chrI,7515104,
chrI,7515090,
chrI,7515087,
chrI,7515083,
chrI,7515075,
chrI,7515067,
chrI,7542166,
chrI,7542071,
chrI,7554827,
chrI,7554850,
chrI,7554856,
chrI,7554860,
chrI,7554868,
chrI,7554874,
chrI,7554901,
chrI,7554910,
chrI,7554962,
chrI,7554972,
chrI,7564562,
chrI,7571841,
chrI,7571408,
chrI,7574183,
chrI,7574210,
chrI,7574214,
chrI,7574222,
chrI,7581847,
chrI,7588548,
chrI,7588526,
chrI,7588507,
chrI,7586491,
chrI,7588655,
chrI,7588678,
chrI,7588693,
chrI,7602302,
chrI,7602306,
chrI,7643292,
chrI,7643279,
chrI,7643263,
chrI,7643244,
chrI,7659738,
chrI,7659130,
chrI,7676272,
chrI,7676217,
chrI,7695445,
chrI,7697412,
chrI,7697433,
chrI,7697475,
chrI,7697486,
chrI,7697489,
chrI,7697536,
chrI,7697589,
chrI,7697638,
chrI,7697771,
chrI,7697880,
chrI,7699463,
chrI,7699615,
chrI,7699659,
chrI,7702036,
chrI,7702030,
chrI,7701109,
chrI,7701117,
chrI,7701125,
chrI,7701129,
chrI,7701141,
chrI,7702306,
chrI,7726902,
chrI,7726879,
chrI,7724739,
chrI,7724718,
chrI,7724700,
chrI,7724821,
chrI,7724841,
chrI,7727237,
chrI,7731116,
chrI,7755729,
chrI,7755746,
chrI,7772753,
chrI,7772757,
chrI,7772779,
chrI,7772809,
chrI,7814992,
chrI,7815006,
chrI,7815017,
chrI,7835403,
chrI,7835710,
chrI,7848869,
chrI,7861535,
chrI,7861507,
chrI,7861497,
chrI,7861242,
chrI,7860873,
chrI,7860561,
chrI,7866327,
chrI,7863547,
chrI,7866324,
chrI,7866333,
chrI,7866339,
chrI,7866350,
chrI,7889257,
chrI,7889341,
chrI,7889348,
chrI,7889453,
chrI,7927045,
chrI,7926964,
chrI,7926942,
chrI,7926917,
chrI,7926914,
chrI,7926902,
chrI,7935759,
chrI,7935695,
chrI,7935690,
chrI,7935675,
chrI,7936206,
chrI,7936217,
chrI,7936233,
chrI,7936238,
chrI,7940773,
chrI,7940761,
chrI,7940755,
chrI,7940742,
chrI,7940735,
chrI,7940721,
chrI,7940161,
chrI,7942874,
chrI,7942877,
chrI,7952451,
chrI,7952442,
chrI,7958439,
chrI,7958678,
chrI,7977072,
chrI,8022955,
chrI,8027938,
chrI,8028058,
chrI,8028100,
chrI,8035880,
chrI,8040583,
chrI,8133880,
chrI,8147482,
chrI,8147483,
chrI,8147485,
chrI,8147488,
chrI,8147491,
chrI,8150334,
chrI,8150343,
chrI,8210681,
chrI,8210659,
chrI,8218442,
chrI,8214279,
chrI,8214287,
chrI,8214296,
chrI,8214309,
chrI,8214315,
chrI,8214347,
chrI,8223032,
chrI,8226290,
chrI,8242116,
chrI,8245615,
chrI,8244952,
chrI,8255162,
chrI,8254954,
chrI,8281974,
chrI,8281979,
chrI,8281984,
chrI,8291115,
chrI,8315336,
chrI,8315330,
chrI,8315324,
chrI,8324047,
chrI,8333105,
chrI,8333108,
chrI,8333118,
chrI,8333134,
chrI,8333139,
chrI,8333146,
chrI,8333160,
chrI,8348525,
chrI,8392731,
chrI,8392724,
chrI,8392719,
chrI,8392712,
chrI,8392702,
chrI,8392686,
chrI,8401393,
chrI,8406821,
chrI,8434481,
chrI,8434484,
chrI,8434509,
chrI,8438631,
chrI,8438624,
chrI,8440481,
chrI,8440472,
chrI,8442450,
chrI,8442446,
chrI,8442440,
chrI,8444977,
chrI,8473495,
chrI,8487397,
chrI,8487340,
chrI,8487496,
chrI,8487501,
chrI,8487519,
chrI,8487525,
chrI,8487531,
chrI,8487538,
chrI,8487564,
chrI,8511378,
chrI,8512410,
chrI,8582066,
chrI,8582055,
chrI,8582046,
chrI,8590804,
chrI,8590809,
chrI,8590827,
chrI,8602137,
chrI,8602140,
chrI,8615126,
chrI,8615111,
chrI,8615274,
chrI,8615278,
chrI,8637946,
chrI,8637403,
chrI,8637395,
chrI,8637180,
chrI,8664452,
chrI,8664162,
chrI,8664156,
chrI,8664149,
chrI,8664933,
chrI,8664949,
chrI,8664954,
chrI,8666280,
chrI,8681640,
chrI,8687109,
chrI,8692775,
chrI,8692918,
chrI,8692922,
chrI,8696375,
chrI,8696362,
chrI,8696340,
chrI,8702398,
chrI,8702388,
chrI,8702484,
chrI,8702518,
chrI,8728544,
chrI,8728540,
chrI,8728499,
chrI,8728712,
chrI,8728717,
chrI,8730075,
chrI,8751376,
chrI,8751362,
chrI,8759088,
chrI,8759070,
chrI,8759861,
chrI,8760315,
chrI,8760324,
chrI,8760342,
chrI,8760361,
chrI,8760367,
chrI,8761673,
chrI,8761677,
chrI,8796886,
chrI,8808074,
chrI,8808021,
chrI,8808460,
chrI,8820109,
chrI,8822184,
chrI,8822188,
chrI,8825610,
chrI,8828246,
chrI,8828207,
chrI,8826643,
chrI,8826636,
chrI,8841741,
chrI,8861874,
chrI,8871860,
chrI,8894513,
chrI,8905848,
chrI,8905836,
chrI,8905829,
chrI,8905827,
chrI,8905512,
chrI,8920508,
chrI,8944721,
chrI,8946192,
chrI,8947192,
chrI,8948773,
chrI,8961572,
chrI,8961578,
chrI,8961585,
chrI,8970198,
chrI,8975898,
chrI,8975870,
chrI,8975845,
chrI,8975838,
chrI,8975816,
chrI,8975765,
chrI,8975757,
chrI,8975683,
chrI,8975647,
chrI,8986281,
chrI,8986277,
chrI,8984784,
chrI,8984782,
chrI,9014071,
chrI,9014054,
chrI,9014040,
chrI,9016564,
chrI,9016747,
chrI,9018652,
chrI,9018667,
chrI,9018672,
chrI,9055432,
chrI,9055391,
chrI,9064993,
chrI,9095577,
chrI,9124477,
chrI,9124475,
chrI,9121919,
chrI,9121959,
chrI,9121994,
chrI,9122050,
chrI,9122070,
chrI,9122088,
chrI,9122778,
chrI,9124653,
chrI,9124673,
chrI,9124681,
chrI,9124684,
chrI,9124685,
chrI,9124688,
chrI,9124690,
chrI,9127764,
chrI,9127064,
chrI,9127048,
chrI,9127044,
chrI,9127037,
chrI,9127031,
chrI,9141936,
chrI,9149644,
chrI,9149654,
chrI,9149682,
chrI,9154744,
chrI,9155506,
chrI,9163465,
chrI,9163569,
chrI,9178786,
chrI,9182261,
chrI,9181035,
chrI,9226723,
chrI,9226867,
chrI,9226928,
chrI,9226935,
chrI,9226941,
chrI,9226945,
chrI,9226964,
chrI,9226969,
chrI,9234349,
chrI,9249367,
chrI,9249355,
chrI,9271876,
chrI,9271869,
chrI,9271866,
chrI,9271861,
chrI,9287161,
chrI,9287277,
chrI,9317683,
chrI,9322525,
chrI,9342071,
chrI,9418955,
chrI,9419429,
chrI,9419438,
chrI,9419465,
chrI,9457853,
chrI,9459279,
chrI,9470754,
chrI,9470779,
chrI,9476590,
chrI,9476596,
chrI,9480658,
chrI,9480650,
chrI,9481636,
chrI,9488265,
chrI,9488259,
chrI,9488246,
chrI,9488047,
chrI,9488353,
chrI,9488373,
chrI,9505840,
chrI,9512152,
chrI,9512137,
chrI,9512475,
chrI,9512496,
chrI,9512502,
chrI,9512504,
